Batsman,Innings,Runs,Balls,Outs,Avg,SR,100s,50s,HS,Initial_Q,MakeItRelative,Remove_outliers,Semi_final_Q,Quantifier
Adnan Ilyas,5,100,64,4,25,156.2,0,1,59,0.390625,79.71938776,79.71938776,104.392285,0.521961425
Muhammad Kaleem,9,97,116,9,10.8,83.6,0,1,50,0.092911877,18.96160763,18.96160763,43.49431791,0.21747159
NJ O'Brien,6,92,88,5,18.4,104.5,0,0,38,0.209090909,42.6716141,42.6716141,46.97067952,0.234853398
MD Gunathilaka,5,91,76,5,18.2,119.7,0,0,46,0.239473684,48.87218045,48.87218045,53.1245169,0.265622584
SJ Myburgh,4,91,74,3,30.3,123,0,0,35,0.40990991,83.65508366,83.65508366,87.9074201,0.439537101
PW Borren,4,90,70,3,30,128.6,0,0,43,0.428571429,87.46355685,87.46355685,91.66916433,0.458345822
CR Brathwaite,5,89,48,2,44.5,185.4,0,0,34,0.927083333,189.2006803,0,4.158878505,0.020794393
Mandeep Singh,3,87,72,2,43.5,120.8,0,1,52,0.604166667,123.2993197,0,24.06542056,0.120327103
SP Patil,7,87,104,7,12.4,83.7,0,0,37,0.119505495,24.38887643,24.38887643,28.45429699,0.142271485
HG Munsey,5,86,55,5,17.2,156.4,0,0,41,0.312727273,63.82189239,63.82189239,67.84058398,0.33920292
PR Stirling,6,85,66,6,14.2,128.8,0,0,29,0.214646465,43.80540095,43.80540095,47.77736357,0.238886818
Mohammad Mithun,7,85,92,7,12.1,92.4,0,0,47,0.131987578,26.93624033,26.93624033,30.90820295,0.154541015
Sikandar Raza,10,83,93,9,9.2,89.2,0,0,20,0.09916368,20.23748568,20.23748568,24.11599035,0.120579952
GD Elliott,8,82,71,3,27.3,115.5,0,0,27,0.384976526,78.56663792,78.56663792,82.39841362,0.411992068
MH Cross,7,81,78,6,13.5,103.8,0,0,27,0.173076923,35.32182104,35.32182104,39.10686777,0.195534339
W Barresi,4,79,72,3,26.3,109.7,0,0,49,0.365740741,74.6409675,74.6409675,78.33255628,0.391662781
HH Pandya,7,78,56,7,11.1,139.3,0,0,31,0.198979592,40.60807997,40.60807997,44.25293978,0.221264699
Shafiqullah,7,78,53,5,15.6,147.2,0,0,35,0.294339623,60.06931074,60.06931074,63.71417056,0.318570853
KM Jadhav,2,77,55,2,38.5,140,0,1,58,0.7,142.8571429,0,23.59813084,0.117990654
Amir Ali,5,71,40,3,23.7,177.5,0,0,32,0.591666667,120.7482993,0,3.317757009,0.016588785
